name,cat,definition,example
Callipyge,adj.,"Adjectif faisant allusion à un type de statues antiques de Vénus Callipyge : elles représentent Vénus regardant par dessus son épaule son reflet et ses fesses, nécessairement superbes. De nos jours, Callipyge est utilisé pour parler d'une personne qui a de belles fesses.","« Même en me concentrant, je ne peux dire qui de vous deux est le•a plus callipyge ! »"
Gadru•e,adj.,"Cet adjectif picard, qui à l'origine décrivait un petit enfant en bonne santé, a évolué dans le temps. On dit d’un tout jeune enfant qui est vif, éveillé, gaillard, bien portant, qu’il est bien gadru. Gadru•e peut décrit quelqu'un en pleine forme ou bon vivant.","« A 11 ans, elle fait 1200m de dénivelé en 3h ? Elle est bien gadrue ! »"
Vespéral•e,adj.,"Vespéral pouvait désigner, dans la liturgie catholique, un livre contenant les prières du soir, les vêpres et complies. Plus couramment, on qualifie de vespérale une chose qui se déroule ou qui a lieu le soir.","La clarté vespérale nimbait le salon, rendant la raclette encore plus appétissante."
Quintessence,n.f.,"Ce mot est utilisé pour nommer de l'extrait le plus concentré ou le plus délicat. Il est aussi utilisé pour nommer la part la plus subtile d'une substance. Plus généralement aujourd'hui, quintessence désigne la partie la plus raffinée, la meilleure.","La quintessence du beauf se trouve dans son célèbre combo claquettes/chaussettes."
Mirliflore,n.m.,"Un mirliflore est un jeune homme très porté sur son élégance et sur son apparence, « mirliflor » comme les « mille fleurs » de son parfum. Aujourd'hui, ce terme un peu vieilli décrit un jeune homme agissant de façon fière voire hautaine.","Le mirliflore lança un regard rapide à la file d'attente et la contourna pour s'adresser directement au guichet."
Lénifier,vb.,"Ce verbe transitif vient du « lénitif », un médicament utilisé pour apaiser un patient. Maintenant, lénifier est utilisé pour signifier calmer, adoucir, apaiser une peine. Attention, lénifier peut également signifier amollir quelqu'un.","« Tu es malade ? Est-ce qu'une demi-douzaine de cookies pourrait te lénifier ? »"
Haptique,n.f.,"L'haptique est une science comme l'optique ou l'acoustique, mais elle décrit la science liée à la sensation du toucher. Haptique évoque surtout le ressenti produit au niveau du cerveau lors d'un contact avec sa peau.","« Tu fais quoi samedi ? Jserais dispo pour une démo d'haptique si ça te chante. »"
Lampadophore,adj.,"Rôle qui peut être décisif dans certaines situations, la personne lampadophore pouvait donner le signal de départ d'une course ou d'un sport. De façon plus globale, lampadophore désigne être porteur•se de flambeau.","« Bon, pour la suite du rituel, il faut un cercle de chamans lampadophores, mettez-vous autour du pentacle. »"
Pabullophobie,n.f.,"Comme tout mot finissant par -phobie, la Pabullophobie est une peur. Il s'agit, en l'occurence, de la peur des brouettes.","« J'ai cherché un peu sur le net, il semblerait que personne ne soit jamais mort de sa pabullophobie. »"
Faribole,n.f.,"Une faribole est une phrase légère, peu sérieuse, qui n'a que peu de valeur. Si la faribole est un propos peu important et sans but particulier, elle reste néanmoins agréable.","Il disait quelques fariboles, en attendant d'avoir le courage de lui avouer sa flamme."
